,Feature,Chi-Square,p-value,Degrees of Freedom,Cramér's V,Number of Categories,Severity
24,migration prev res in sunbelt,199523.00000000003,0.0,3,1.0,4,Severe
22,migration code-move within reg,199523.00000000003,0.0,9,1.0,10,Severe
21,migration code-change in reg,199523.00000000003,0.0,8,1.0,9,Severe
20,migration code-change in msa,199522.99999999997,0.0,9,0.9999999999999999,10,Severe
23,live in this house 1 year ago,193549.8268129113,0.0,2,0.9849176278676273,3,Severe
14,full or part time employment stat,122280.42506431244,0.0,7,0.782856184428324,8,Severe
17,state of previous residence,17104.4705550771,0.0,50,0.2927914124767759,51,High
16,region of previous residence,17104.4705550771,0.0,5,0.2927914124767759,6,High
9,race,487.2591523862564,3.8152973756932734e-104,4,0.049417812766782476,5,None
27,country of birth father,222.9603270692719,1.6883709740675052e-26,42,0.0334285326278198,43,None
28,country of birth mother,218.37021403962083,1.1103579530815726e-25,42,0.03308264440069746,43,None
25,num persons worked for employer,200.03939509279633,1.861323931142417e-40,6,0.031663672373832955,7,None
0,age,172.22650253018256,4.1767951413690636e-07,90,0.029380116128420657,91,None
29,country of birth self,157.05591882684266,3.4303787518300025e-15,42,0.028056317710849762,43,None
18,detailed household and family stat,120.58125448027258,8.705808100260123e-11,37,0.024583483104035592,38,None
10,hispanic origin,72.54257879161126,1.5293426295358404e-12,8,0.019109675107515427,9,None
2,detailed industry recode,69.20133175694379,0.045704993052987176,51,0.018623475978853672,52,None
3,detailed occupation recode,51.3308156140312,0.2727285612140515,46,0.01603956550043351,47,None
4,education,49.15994164119276,3.117065090984025e-05,16,0.015696730296997318,17,None
13,reason for unemployment,47.19833785423415,5.176321566043173e-09,5,0.015380373045967536,6,None
33,label,43.544260443764,4.1447805727523245e-11,1,0.014773009474481682,2,None
7,major industry code,32.57052329238242,0.08884771303274573,23,0.012776617256109157,24,None
30,citizenship,31.891829309599792,2.012993030939139e-06,4,0.012642798970974773,5,None
31,own business or self employed,29.296384139889522,4.3488158124345914e-07,2,0.012117430226513574,3,None
8,major occupation code,16.63657302749057,0.27606255871344265,14,0.009131359732528887,15,None
19,detailed household summary in household,12.988979690071837,0.07237735447870837,7,0.00806846716158244,8,None
26,family members under 18,9.094252870172605,0.05878630256110709,4,0.006751294141531637,5,None
1,class of worker,6.6706459601116,0.5725478957956895,8,0.0057821248194650276,9,None
15,tax filer stat,4.860514733424213,0.43313942079062395,5,0.0049356533381419015,6,None
5,enroll in edu inst last wk,4.104731611875453,0.12843070177162083,2,0.004535716482115244,3,None
6,marital stat,3.158798900028174,0.7886682588878257,6,0.003978913574281079,7,None
12,member of a labor union,0.906546046166977,0.6355445915929107,2,0.0021315643638569214,3,None
11,sex,0.23111148515946975,0.6307009009662801,1,0.001076252767263697,2,None
32,fill inc questionnaire for veteran's admin,0.06520343033297969,0.9679239922740539,2,0.0005716612296316675,3,None
