,model,metric,mean,std,min,max
0,LASSO Logistic Regression,ROC-AUC,0.9438299641092923,0.002150268660847589,0.9413280273919088,0.9468184694176011
1,LASSO Logistic Regression,F1,0.4356702808188957,0.004618369431685867,0.42938451916716436,0.4421865199623348
2,LASSO Logistic Regression,Precision,0.6397478592318072,0.0019749610127189885,0.637034127201502,0.6424136948838804
3,LASSO Logistic Regression,Recall,0.8723598728052693,0.0033902126937621004,0.8676728762877849,0.8766518584315472
4,LASSO Logistic Regression,Specificity,0.8481431710142967,0.0020169820894361257,0.8457526861643146,0.8518812872373386
5,LASSO Logistic Regression,Negative Predictive Value,0.9917220300512705,0.000687744787320538,0.9906500975481156,0.9924667476082242
6,LASSO Logistic Regression,Accuracy,0.8512417308563544,0.0015696923433785295,0.8490804493499403,0.8539196820586527
7,Ridge Logistic Regression,ROC-AUC,0.943679437054422,0.0020057118330895638,0.9413932590408685,0.9465573105981632
8,Ridge Logistic Regression,F1,0.4363461267122803,0.004705160649048763,0.4292754199192739,0.4428460979461171
9,Ridge Logistic Regression,Precision,0.6400453498304743,0.0020099863941592895,0.636990535760209,0.6427069364217315
10,Ridge Logistic Regression,Recall,0.87254079931309,0.0032807315917451375,0.8680293842466129,0.8767902083564458
11,Ridge Logistic Regression,Specificity,0.8486006060380553,0.00201339827590708,0.8457654149133971,0.8520588168255456
12,Ridge Logistic Regression,Negative Predictive Value,0.9917191932825012,0.0006491147340872335,0.9906945820945687,0.9924000807709052
13,Ridge Logistic Regression,Accuracy,0.8516643601684624,0.0016334154141592909,0.8490707441063866,0.8541203143620226
14,Decision Tree,ROC-AUC,0.7097922564338288,0.005444825481737813,0.7034670688474567,0.717412762327053
15,Decision Tree,F1,0.4494955184055261,0.009709446665078622,0.43786005159847413,0.46516589463211067
16,Decision Tree,Precision,0.7018401292047107,0.006121559177557226,0.6914706506075107,0.7104606493541252
17,Decision Tree,Recall,0.7094288147957624,0.005403528988721524,0.7031125334139303,0.7169935840825734
18,Decision Tree,Specificity,0.9601668318708132,0.0014619936063425035,0.9573239630877463,0.9613595929104211
19,Decision Tree,Negative Predictive Value,0.9628502311800595,0.0010137038889809792,0.9616863671948532,0.9643563486426918
20,Decision Tree,Accuracy,0.9280436477274172,0.0015085768153389836,0.9257386358188153,0.9299595854306838
21,XGBoost,ROC-AUC,0.9507202576457272,0.001664679573829149,0.9487726382293618,0.9526549733294684
22,XGBoost,F1,0.4556038554825504,0.006717650886240041,0.44775506439096513,0.4657373423819855
23,XGBoost,Precision,0.648593409422342,0.002960411289990794,0.6450453196863836,0.6529065082317943
24,XGBoost,Recall,0.8793814829642465,0.003192311944655601,0.8756988821891363,0.8849015528707276
25,XGBoost,Specificity,0.8599297393944827,0.0023905693819359065,0.8562284512552755,0.8632248111905856
26,XGBoost,Negative Predictive Value,0.9920125328007909,0.0005877141667718046,0.9911413804896178,0.9926532397748291
27,XGBoost,Accuracy,0.86241843814766,0.0021018671098692906,0.8591934295293893,0.8648349773140148
