,feature_raw,feature_type,feature_name,feature_value,coefficient,abs_coefficient,odds_ratio
0,categorical__education_Doctorate degree(PhD EdD),categorical,education,Doctorate degree(PhD EdD),2.113869518399733,2.113869518399733,8.28021983693956
1,categorical__education_Prof school degree (MD DDS DVM LLB JD),categorical,education,Prof school degree (MD DDS DVM LLB JD),2.013193715710632,2.013193715710632,7.487191163984054
2,categorical__tax filer stat_Nonfiler,categorical,tax filer stat,Nonfiler,-1.7026187432332944,1.7026187432332944,0.18220574866885522
3,categorical__sex_Female,categorical,sex,Female,-1.466857652457639,1.466857652457639,0.23064912734214302
4,categorical__education_Masters degree(MA MS MEng MEd MSW MBA),categorical,education,Masters degree(MA MS MEng MEd MSW MBA),1.2953264984079078,1.2953264984079078,3.6521882131355823
5,categorical__education_10th grade,categorical,education,10th grade,-1.1399008943423936,1.1399008943423936,0.31985071926144815
6,numeric__weeks worked in year,numeric,weeks worked in year,,1.1160111953208784,1.1160111953208784,3.052653447897922
7,categorical__major industry code_Social services,categorical,major industry code,Social services,-1.0559149915614017,1.0559149915614017,0.3478739798840377
8,categorical__education_5th or 6th grade,categorical,education,5th or 6th grade,-1.04520248106703,1.04520248106703,0.35162061565215996
9,categorical__education_7th and 8th grade,categorical,education,7th and 8th grade,-1.0347909784376346,1.0347909784376346,0.3553006386585492
10,categorical__education_9th grade,categorical,education,9th grade,-1.0024173864140506,1.0024173864140506,0.36699120844176386
11,categorical__major occupation code_Executive admin and managerial,categorical,major occupation code,Executive admin and managerial,0.946531984128922,0.946531984128922,2.5767579085581804
12,categorical__major occupation code_Handlers equip cleaners etc ,categorical,major occupation code,Handlers equip cleaners etc ,-0.9116963247251202,0.9116963247251202,0.4018419910478837
13,categorical__detailed household summary in household_Child 18 or older,categorical,detailed household summary in household,Child 18 or older,-0.8662682172387516,0.8662682172387516,0.4205179062511682
14,categorical__major occupation code_Other service,categorical,major occupation code,Other service,-0.8323471854428431,0.8323471854428431,0.43502699800378775
15,categorical__education_11th grade,categorical,education,11th grade,-0.8227770687733795,0.8227770687733795,0.43921024226932587
16,categorical__own business or self employed_2,categorical,own business or self employed,2,-0.8142952444061577,0.8142952444061577,0.44295138985434107
17,categorical__class of worker_Self-employed-incorporated,categorical,class of worker,Self-employed-incorporated,0.7961740290608884,0.7961740290608884,2.2170423416163527
18,categorical__detailed household summary in household_Child under 18 never married,categorical,detailed household summary in household,Child under 18 never married,-0.772234787838726,0.772234787838726,0.4619794876838687
19,categorical__education_Bachelors degree(BA AB BS),categorical,education,Bachelors degree(BA AB BS),0.7626577920347501,0.7626577920347501,2.143966872939288
20,categorical__major industry code_Mining,categorical,major industry code,Mining,0.75207254649905,0.75207254649905,2.1213921474611195
21,categorical__num persons worked for employer_1,categorical,num persons worked for employer,1,-0.7493830571334498,0.7493830571334498,0.4726580658303394
22,categorical__own business or self employed_0,categorical,own business or self employed,0,-0.7254586347677192,0.7254586347677192,0.48410249179922415
23,categorical__major occupation code_Professional specialty,categorical,major occupation code,Professional specialty,0.722852860654776,0.722852860654776,2.0603025905991545
24,categorical__class of worker_State government,categorical,class of worker,State government,-0.720068367702203,0.720068367702203,0.4867189789642384
25,numeric__age,numeric,age,,0.7134072487777806,0.7134072487777806,2.0409333929499667
26,categorical__major industry code_Education,categorical,major industry code,Education,-0.6977684105626631,0.6977684105626631,0.4976947157256591
27,categorical__major occupation code_Adm support including clerical,categorical,major occupation code,Adm support including clerical,-0.6893333681662289,0.6893333681662289,0.5019105471152235
28,categorical__major occupation code_Sales,categorical,major occupation code,Sales,0.6753445249469807,0.6753445249469807,1.9647097509029914
29,categorical__enroll in edu inst last wk_College or university,categorical,enroll in edu inst last wk,College or university,-0.6687686551074719,0.6687686551074719,0.5123390556184304
30,categorical__major occupation code_Protective services,categorical,major occupation code,Protective services,0.6667934391409337,0.6667934391409337,1.9479809757702062
31,categorical__education_1st 2nd 3rd or 4th grade,categorical,education,1st 2nd 3rd or 4th grade,-0.6664069371771942,0.6664069371771942,0.5135504859177116
32,categorical__education_Children,categorical,education,Children,-0.6656587730914918,0.6656587730914918,0.5139348497131351
33,categorical__major industry code_Retail trade,categorical,major industry code,Retail trade,-0.6277767664452965,0.6277767664452965,0.5337771941845395
34,categorical__major occupation code_Machine operators assmblrs & inspctrs,categorical,major occupation code,Machine operators assmblrs & inspctrs,-0.5893436345936882,0.5893436345936882,0.5546912454205166
35,categorical__race_Black,categorical,race,Black,-0.5570760647625003,0.5570760647625003,0.5728816862867651
36,categorical__education_12th grade no diploma,categorical,education,12th grade no diploma,-0.5386885675431018,0.5386885675431018,0.5835129886867614
37,categorical__country of birth self_England,categorical,country of birth self,England,0.5315131594630795,0.5315131594630795,1.701505010081368
38,categorical__country of birth self_Scotland,categorical,country of birth self,Scotland,0.5104309105937697,0.5104309105937697,1.6660089411946248
39,categorical__major industry code_Utilities and sanitary services,categorical,major industry code,Utilities and sanitary services,0.5061105188872458,0.5061105188872458,1.6588266562960594
40,categorical__citizenship_Foreign born- Not a citizen of U S ,categorical,citizenship,Foreign born- Not a citizen of U S ,-0.485735529650698,0.485735529650698,0.6152444997266695
41,categorical__major industry code_Personal services except private HH,categorical,major industry code,Personal services except private HH,-0.4649681794265652,0.4649681794265652,0.6281550931268945
42,categorical__fill inc questionnaire for veteran's admin_No,categorical,fill inc questionnaire for veteran's admin,No,0.46304923345662247,0.46304923345662247,1.5889115680991688
43,numeric__capital gains,numeric,capital gains,,0.4541753264761848,0.4541753264761848,1.5748740903958158
44,categorical__marital stat_Married-A F spouse present,categorical,marital stat,Married-A F spouse present,-0.4535129074335421,0.4535129074335421,0.6353921526762125
45,categorical__country of birth father_El-Salvador,categorical,country of birth father,El-Salvador,-0.4343677765991848,0.4343677765991848,0.6476740123322717
46,categorical__detailed household summary in household_Other relative of householder,categorical,detailed household summary in household,Other relative of householder,-0.4308251078228916,0.4308251078228916,0.6499725759537538
47,categorical__class of worker_Local government,categorical,class of worker,Local government,-0.41616863772459417,0.41616863772459417,0.6595690328843063
48,categorical__major industry code_Communications,categorical,major industry code,Communications,0.4092782391300976,0.4092782391300976,1.5057306153829668
49,categorical__num persons worked for employer_2,categorical,num persons worked for employer,2,-0.3992281011435487,0.3992281011435487,0.6708376650616967
50,categorical__education_High school graduate,categorical,education,High school graduate,-0.39909154394926033,0.39909154394926033,0.6709292790261911
51,categorical__marital stat_Never married,categorical,marital stat,Never married,-0.3972878421409805,0.3972878421409805,0.6721405274170714
52,categorical__citizenship_Native- Born in Puerto Rico or U S Outlying,categorical,citizenship,Native- Born in Puerto Rico or U S Outlying,-0.3857878897899256,0.3857878897899256,0.6799147272420967
53,categorical__education_Less than 1st grade,categorical,education,Less than 1st grade,-0.38331745161008174,0.38331745161008174,0.681596491034729
54,categorical__country of birth father_Mexico,categorical,country of birth father,Mexico,-0.3600773437776026,0.3600773437776026,0.6976223672351458
55,categorical__country of birth mother_Scotland,categorical,country of birth mother,Scotland,0.35951001002752797,0.35951001002752797,1.4326272695560103
56,categorical__country of birth self_Mexico,categorical,country of birth self,Mexico,-0.3527002652058738,0.3527002652058738,0.7027878117709098
57,numeric__dividends from stocks,numeric,dividends from stocks,,0.34941539137983296,0.34941539137983296,1.4182381919199012
58,categorical__sex_Male,categorical,sex,Male,-0.32921295461649464,0.32921295461649464,0.7194897817610589
59,categorical__country of birth mother_Puerto-Rico,categorical,country of birth mother,Puerto-Rico,-0.3271754032517432,0.3271754032517432,0.7209572736851921
60,categorical__race_Amer Indian Aleut or Eskimo,categorical,race,Amer Indian Aleut or Eskimo,-0.3256784182833519,0.3256784182833519,0.7220373441096464
61,categorical__country of birth father_Greece,categorical,country of birth father,Greece,0.32455070805607095,0.32455070805607095,1.3834089518329056
62,categorical__citizenship_Native- Born abroad of American Parent(s),categorical,citizenship,Native- Born abroad of American Parent(s),-0.31936948576420443,0.31936948576420443,0.7266070287488379
63,categorical__country of birth father_Ireland,categorical,country of birth father,Ireland,0.31549179070379096,0.31549179070379096,1.3709333574792297
64,categorical__num persons worked for employer_3,categorical,num persons worked for employer,3,-0.3127401505185657,0.3127401505185657,0.7314399521692384
65,categorical__race_Other,categorical,race,Other,-0.3054177424475599,0.3054177424475599,0.7368155109773409
66,categorical__citizenship_Foreign born- U S citizen by naturalization,categorical,citizenship,Foreign born- U S citizen by naturalization,-0.3014084062301877,0.3014084062301877,0.739775582085969
67,categorical__major occupation code_Transportation and material moving,categorical,major occupation code,Transportation and material moving,-0.2990439014370078,0.2990439014370078,0.7415268546259163
68,categorical__major industry code_Manufacturing-durable goods,categorical,major industry code,Manufacturing-durable goods,0.29628592887274896,0.29628592887274896,1.344854634632473
69,categorical__country of birth self_Italy,categorical,country of birth self,Italy,0.29413887016804335,0.29413887016804335,1.3419702503618505
70,categorical__country of birth self_Columbia,categorical,country of birth self,Columbia,-0.2896366854563636,0.2896366854563636,0.7485354720055652
71,categorical__tax filer stat_Joint both 65+,categorical,tax filer stat,Joint both 65+,-0.28897490864650155,0.28897490864650155,0.7490309993684718
72,categorical__tax filer stat_Joint both under 65,categorical,tax filer stat,Joint both under 65,0.28739108643271866,0.28739108643271866,1.3329454084176844
73,categorical__major industry code_Private household services,categorical,major industry code,Private household services,-0.28654624862913114,0.28654624862913114,0.7508523518361131
74,categorical__marital stat_Married-civilian spouse present,categorical,marital stat,Married-civilian spouse present,-0.2809625548844922,0.2809625548844922,0.7550566081327748
75,categorical__country of birth self_Canada,categorical,country of birth self,Canada,0.28071707248386646,0.28071707248386646,1.3240789325717803
76,categorical__country of birth mother_Italy,categorical,country of birth mother,Italy,-0.27440194521196926,0.27440194521196926,0.7600265248351034
