,feature_raw,feature_type,feature_name,feature_value,coefficient,abs_coefficient,odds_ratio
0,categorical__education_Doctorate degree(PhD EdD),categorical,education,Doctorate degree(PhD EdD),2.177892241802661,2.177892241802661,8.827680020886445
1,categorical__education_Prof school degree (MD DDS DVM LLB JD),categorical,education,Prof school degree (MD DDS DVM LLB JD),2.096428910030899,2.096428910030899,8.137059793470065
2,categorical__tax filer stat_Nonfiler,categorical,tax filer stat,Nonfiler,-1.7665427509258615,1.7665427509258615,0.17092289152603304
3,categorical__sex_Female,categorical,sex,Female,-1.5033859932236673,1.5033859932236673,0.22237592058380865
4,categorical__education_5th or 6th grade,categorical,education,5th or 6th grade,-1.4234506584517146,1.4234506584517146,0.24088138177762386
5,categorical__education_Masters degree(MA MS MEng MEd MSW MBA),categorical,education,Masters degree(MA MS MEng MEd MSW MBA),1.3626210541503445,1.3626210541503445,3.9064188303974703
6,numeric__weeks worked in year,numeric,weeks worked in year,,1.102071443206721,1.102071443206721,3.0103954329546156
7,categorical__education_9th grade,categorical,education,9th grade,-1.072956292133999,1.072956292133999,0.3419959814502617
8,categorical__education_1st 2nd 3rd or 4th grade,categorical,education,1st 2nd 3rd or 4th grade,-1.0532889233379346,1.0532889233379346,0.34878872124930904
9,categorical__major industry code_Social services,categorical,major industry code,Social services,-1.0434336368742814,1.0434336368742814,0.3522431281376942
10,categorical__country of birth self_Scotland,categorical,country of birth self,Scotland,1.0168191118742356,1.0168191118742356,2.7643875564660267
11,categorical__education_10th grade,categorical,education,10th grade,-0.9818228316716777,0.9818228316716777,0.3746275930409585
12,categorical__detailed household summary in household_Child under 18 never married,categorical,detailed household summary in household,Child under 18 never married,-0.9638454357151576,0.9638454357151576,0.3814233233614977
13,categorical__major occupation code_Executive admin and managerial,categorical,major occupation code,Executive admin and managerial,0.9273343669522113,0.9273343669522113,2.5277621028020425
14,categorical__enroll in edu inst last wk_College or university,categorical,enroll in edu inst last wk,College or university,-0.9268127688156722,0.9268127688156722,0.39581325041759907
15,categorical__education_7th and 8th grade,categorical,education,7th and 8th grade,-0.8780643440249652,0.8780643440249652,0.41558656625137974
16,categorical__major occupation code_Handlers equip cleaners etc ,categorical,major occupation code,Handlers equip cleaners etc ,-0.8780349259183438,0.8780349259183438,0.41559879220112744
17,categorical__education_Children,categorical,education,Children,-0.8676410453437011,0.8676410453437011,0.41994100353556824
18,categorical__major occupation code_Other service,categorical,major occupation code,Other service,-0.8629349657955807,0.8629349657955807,0.4219219368626258
19,categorical__detailed household summary in household_Child 18 or older,categorical,detailed household summary in household,Child 18 or older,-0.8537732363086643,0.8537732363086643,0.4258052332053196
20,categorical__country of birth self_England,categorical,country of birth self,England,0.852170292924774,0.852170292924774,2.344730084992334
21,categorical__own business or self employed_2,categorical,own business or self employed,2,-0.8492286705112289,0.8492286705112289,0.42774473686745806
22,categorical__class of worker_Self-employed-incorporated,categorical,class of worker,Self-employed-incorporated,0.8344759090289481,0.8344759090289481,2.30360643253225
23,categorical__education_Bachelors degree(BA AB BS),categorical,education,Bachelors degree(BA AB BS),0.8215534425198422,0.8215534425198422,2.2740296695070175
24,categorical__marital stat_Married-A F spouse present,categorical,marital stat,Married-A F spouse present,-0.8163492083792729,0.8163492083792729,0.44204251737293226
25,categorical__num persons worked for employer_1,categorical,num persons worked for employer,1,-0.7928722134624464,0.7928722134624464,0.4525431263818095
26,categorical__major industry code_Mining,categorical,major industry code,Mining,0.77626718333821,0.77626718333821,2.1733444088154816
27,categorical__own business or self employed_0,categorical,own business or self employed,0,-0.775873247800942,0.775873247800942,0.46030164804173734
28,categorical__country of birth father_El-Salvador,categorical,country of birth father,El-Salvador,-0.7444024958906527,0.7444024958906527,0.4750180403945769
29,categorical__education_Less than 1st grade,categorical,education,Less than 1st grade,-0.7249663353923934,0.7249663353923934,0.4843408738263776
30,numeric__age,numeric,age,,0.7084161450486168,0.7084161450486168,2.0307722614059625
31,categorical__major occupation code_Adm support including clerical,categorical,major occupation code,Adm support including clerical,-0.7069171491197153,0.7069171491197153,0.4931622018962939
32,categorical__major industry code_Education,categorical,major industry code,Education,-0.7026791195185813,0.7026791195185813,0.4952566729864499
33,categorical__major occupation code_Professional specialty,categorical,major occupation code,Professional specialty,0.6993245468902074,0.6993245468902074,2.012392971212601
34,categorical__class of worker_State government,categorical,class of worker,State government,-0.6972367123931688,0.6972367123931688,0.4979594094573279
35,categorical__major occupation code_Protective services,categorical,major occupation code,Protective services,0.6659086733321066,0.6659086733321066,1.946258231031802
36,categorical__education_11th grade,categorical,education,11th grade,-0.6646748096935325,0.6646748096935325,0.5144407916675503
37,categorical__country of birth mother_Scotland,categorical,country of birth mother,Scotland,0.655617094867418,0.655617094867418,1.9263308795712781
38,categorical__major occupation code_Sales,categorical,major occupation code,Sales,0.6474395054054922,0.6474395054054922,1.9106423709895382
