,feature_raw,feature_type,feature_name,feature_value,mean_abs_shap,mean_shap,positive_ratio
0,numeric__weeks worked in year,numeric,weeks worked in year,,0.9093038,-0.44955415,0.39496198433263335
1,numeric__age,numeric,age,,0.8946762,-0.6221402,0.4737849771705518
2,categorical__tax filer stat_Nonfiler,categorical,tax filer stat,Nonfiler,0.59882486,-0.45793793,0.6236323631861991
3,categorical__sex_Female,categorical,sex,Female,0.30316165,-0.08185649,0.478837026307744
4,numeric__dividends from stocks,numeric,dividends from stocks,,0.23497933,-0.10008326,0.10328132596242037
5,numeric__capital gains,numeric,capital gains,,0.14384125,-0.06382316,0.02062920064353483
6,categorical__education_Bachelors degree(BA AB BS),categorical,education,Bachelors degree(BA AB BS),0.14353515,-0.0631659,0.09979801827358249
7,categorical__detailed household summary in household_Householder,categorical,detailed household summary in household,Householder,0.14065357,-0.06447475,0.37814186835602914
8,categorical__num persons worked for employer_6,categorical,num persons worked for employer,6,0.13091266,-0.05779118,0.1831718648977812
9,categorical__major occupation code_Executive admin and managerial,categorical,major occupation code,Executive admin and managerial,0.11827234,-0.04784599,0.06262435909644502
10,categorical__education_Masters degree(MA MS MEng MEd MSW MBA),categorical,education,Masters degree(MA MS MEng MEd MSW MBA),0.100228205,-0.055792924,0.03278318790314901
11,categorical__major occupation code_Professional specialty,categorical,major occupation code,Professional specialty,0.096402526,-0.03477103,0.07023751647679716
12,categorical__education_High school graduate,categorical,education,High school graduate,0.07585228,-0.007034881,0.7573863664840645
13,categorical__major occupation code_Sales,categorical,major occupation code,Sales,0.064850464,-0.02258642,0.059055848197952114
14,categorical__major occupation code_Other service,categorical,major occupation code,Other service,0.06415392,-0.024309717,0.9393453386326388
15,numeric__capital losses,numeric,capital losses,,0.06103142,-0.03154926,0.013717716754459385
16,categorical__marital stat_Never married,categorical,marital stat,Never married,0.059439342,-0.041341074,0.5655137502944523
17,categorical__major industry code_Retail trade,categorical,major industry code,Retail trade,0.05537667,-0.006279113,0.9144108699247706
18,categorical__major occupation code_Adm support including clerical,categorical,major occupation code,Adm support including clerical,0.05518544,-0.0065308926,0.9256426577387068
19,categorical__num persons worked for employer_0,categorical,num persons worked for employer,0,0.054429386,-0.033052277,0.5189376663342071
20,categorical__num persons worked for employer_1,categorical,num persons worked for employer,1,0.051704887,0.008929085,0.8841938022182906
21,categorical__education_Prof school degree (MD DDS DVM LLB JD),categorical,education,Prof school degree (MD DDS DVM LLB JD),0.051434312,-0.028800376,0.008986432641850815
22,categorical__marital stat_Married-civilian spouse present,categorical,marital stat,Married-civilian spouse present,0.050060067,-0.028781835,0.4120076382171479
23,categorical__major industry code_Education,categorical,major industry code,Education,0.047851566,0.012379471,0.9584859890839652
24,categorical__sex_Male,categorical,sex,Male,0.042878255,-0.015860422,0.47883201435423484
25,categorical__class of worker_Self-employed-incorporated,categorical,class of worker,Self-employed-incorporated,0.041585956,-0.025031136,0.01636402820727435
26,categorical__education_Doctorate degree(PhD EdD),categorical,education,Doctorate degree(PhD EdD),0.039034527,-0.022857787,0.006330097282017612
27,numeric__wage per hour,numeric,wage per hour,,0.03685573,-0.012561649,0.7448765305253029
28,categorical__detailed household summary in household_Child 18 or older,categorical,detailed household summary in household,Child 18 or older,0.03400882,-0.017039688,0.9270159330002055
29,categorical__education_10th grade,categorical,education,10th grade,0.031146877,-0.014895591,0.9621246673315859
30,categorical__full or part time employment stat_Full-time schedules,categorical,full or part time employment stat,Full-time schedules,0.028518645,-0.013992703,0.20437744019486476
31,categorical__tax filer stat_Joint both under 65,categorical,tax filer stat,Joint both under 65,0.027486928,-0.015303416,0.28777133463309995
32,categorical__race_Black,categorical,race,Black,0.02588969,-0.00544821,0.8759441267422804
33,categorical__detailed household summary in household_Spouse of householder,categorical,detailed household summary in household,Spouse of householder,0.023948563,-0.015279016,0.209935696636478
34,categorical__education_7th and 8th grade,categorical,education,7th and 8th grade,0.023263635,-0.011307627,0.9598692882524822
35,categorical__education_9th grade,categorical,education,9th grade,0.022494888,-0.013549753,0.968775529638187
36,categorical__class of worker_State government,categorical,class of worker,State government,0.021541124,0.006866801,0.9786841617257158
37,categorical__education_11th grade,categorical,education,11th grade,0.019553889,-0.008508261,0.9655227718107687
38,categorical__own business or self employed_1,categorical,own business or self employed,1,0.017861709,-0.009236228,0.013522250567603734
39,categorical__major occupation code_Handlers equip cleaners etc ,categorical,major occupation code,Handlers equip cleaners etc ,0.016353087,-0.0037153158,0.9792705602862828
40,categorical__major industry code_Manufacturing-durable goods,categorical,major industry code,Manufacturing-durable goods,0.01565979,-0.007205598,0.04518276088471004
41,categorical__major occupation code_Machine operators assmblrs & inspctrs,categorical,major occupation code,Machine operators assmblrs & inspctrs,0.015587216,0.0004141183,0.9680036887977828
42,categorical__major industry code_Social services,categorical,major industry code,Social services,0.0153477425,-0.00017627706,0.987224530505255
43,categorical__country of birth self_Mexico,categorical,country of birth self,Mexico,0.014698317,-0.005958476,0.9710960641129093
