,Feature,NIU Indicator Value,Percentage (%)
0,fill inc questionnaire for veteran's admin,Not in universe,98.99845274907017
1,reason for unemployment,Not in universe,96.7935411933024
2,enroll in edu inst last wk,Not in universe,93.45078796519822
3,region of previous residence,Not in universe,91.75742389163817
4,state of previous residence,Not in universe,91.75742389163817
5,member of a labor union,Not in universe,90.09523743093047
6,family members under 18,Not in universe,73.35697601722015
7,full or part time employment stat,Children or Armed Forces,61.313033924049634
8,live in this house 1 year ago,Not in universe under 1 year old,51.07216981272763
9,major industry code,Not in universe or children,49.43991518195769
10,major occupation code,Not in universe,49.43991518195769
11,class of worker,Not in universe,49.20732545879205
12,migration prev res in sunbelt,Not in universe,41.45436456168773
13,migration code-change in msa,Not in universe,0.7691104827771961
14,migration code-change in reg,Not in universe,0.7691104827771961
15,migration code-move within reg,Not in universe,0.7691104827771961
