,model,metric,mean,std,min,max
0,LASSO Logistic Regression,ROC-AUC,0.9428264795292283,0.002199120436076882,0.9400906281486311,0.9458153967855858
1,LASSO Logistic Regression,F1,0.4998102746215203,0.008509148622361079,0.4865503883493232,0.5094164786431656
2,LASSO Logistic Regression,Precision,0.837935422445476,0.005342073419405775,0.830309053736288,0.846688046438212
3,LASSO Logistic Regression,Recall,0.6866742418096103,0.004063743925191001,0.6808517583978041,0.6925606878214152
4,LASSO Logistic Regression,Specificity,0.9896265150059346,0.0003391981370115849,0.9893174651642169,0.9902688697550017
5,LASSO Logistic Regression,Negative Predictive Value,0.9591240913935429,0.0008859168328771947,0.9581834574261093,0.9608092034484301
6,LASSO Logistic Regression,Accuracy,0.9508161760689123,0.0008615967966040767,0.9497333430423696,0.9522941627303934
7,Ridge Logistic Regression,ROC-AUC,0.9427532361473586,0.0021501925590161806,0.9400442862606527,0.9455946180539454
8,Ridge Logistic Regression,F1,0.5014884122073882,0.008557281528565894,0.49000242662969684,0.5116771731286456
9,Ridge Logistic Regression,Precision,0.8367851184011206,0.005833623856923939,0.8304155246514826,0.8472544347012448
10,Ridge Logistic Regression,Recall,0.6879280477257462,0.0041324728901409,0.6828275913005275,0.69429577140373
11,Ridge Logistic Regression,Specificity,0.9894239928521371,0.0004302380895033957,0.9890606627133767,0.9902560586127073
12,Ridge Logistic Regression,Negative Predictive Value,0.9592876743233518,0.0009296885843617842,0.9582514441295786,0.9610320238580813
13,Ridge Logistic Regression,Accuracy,0.9507993106677214,0.0009287406032959262,0.9494773752601294,0.9522771607976767
14,Decision Tree,ROC-AUC,0.7162681334173093,0.0034592839349598756,0.7101793537447627,0.7193761376144983
15,Decision Tree,F1,0.46459708245575904,0.00584295023161604,0.46018472079177386,0.4760578721460472
16,Decision Tree,Precision,0.711686021825527,0.0050980143128758265,0.7052340751868353,0.7205882025657429
17,Decision Tree,Recall,0.7159983640569527,0.0032228890901455677,0.7104655161238533,0.7191914747922454
18,Decision Tree,Specificity,0.9621987314709092,0.0012937888582822312,0.9603573211358121,0.9639439932747499
19,Decision Tree,Negative Predictive Value,0.9636584309753327,0.0008535938579719345,0.9626053146793738,0.9649095070824512
20,Decision Tree,Accuracy,0.9306558322876457,0.0008369728423352156,0.9296509049302085,0.9321323545837052
21,XGBoost,ROC-AUC,0.9509685082294647,0.001751004471236997,0.9490717121733885,0.9535242336337232
22,XGBoost,F1,0.5504439745530234,0.014308585059171756,0.5234915660877675,0.5643410472746088
23,XGBoost,Precision,0.8586609128307124,0.007562585050868922,0.8438590035550813,0.86419922168113
24,XGBoost,Recall,0.7117822021369847,0.007050859639173325,0.6993910716346015,0.7197256492083335
25,XGBoost,Specificity,0.9903895993192606,0.000487563970627518,0.989603921845208,0.9910038886458146
26,XGBoost,Negative Predictive Value,0.962311602753583,0.0010054181699117467,0.9612790012314235,0.9641772504904432
27,XGBoost,Accuracy,0.9547008802678777,0.0011679945824132657,0.9529185003484354,0.9566079656658519
